doi,halId
10.1002/2017gl072879,hal-01460728
10.1002/2017gl073285,hal-02903704
10.1002/2017gl073359,insu-01539519
10.1002/2017gl073454,hal-02903510
10.1002/2017gl073701,insu-01631372
10.1002/2017gl074150,hal-02162210
10.1002/2017gl074353,insu-01566401
10.1002/2017gl074476,
10.1002/2017gl074647,
10.1002/2017gl074837,hal-02398303
10.1002/2017gl075808,hal-02899868
10.1002/2017gl076235,insu-01674408
10.1002/2017gl076475,hal-02976504
10.1002/2017gl076520,
10.1002/2017gl076622,hal-02900975
10.1002/2017gl076697,insu-01696520
10.1002/2017gl076763,insu-01692336
10.1002/2017gl076817,hal-01806880
10.1002/2017ja024054,insu-01673119
10.1002/2017ja024082,insu-01585106
10.1002/2017ja024096,insu-01544697
10.1002/2017ja024205,insu-01620612
10.1002/2017ja024572,insu-01636632
10.1002/2017ja024691,insu-01688364
10.1002/2017ja024884,insu-01740806
10.1002/2017ja025163,insu-01756774
10.1002/2017jb014573,hal-01791462
10.1002/2017jd026453,hal-02957316
10.1002/2017jd026471,
10.1002/2017jd026713,hal-02902904
10.1002/2017jd026723,
10.1002/2017jd026791,hal-01632546
10.1002/2017jd026825,hal-01806697
10.1002/2017jd027326,
10.1002/2017jd027429,hal-01710882
10.1002/2017jd027530,insu-01682118
10.1002/2017jd027742,insu-01779101
10.1002/2017jd027846,hal-01806767
10.1002/2017jd027969,insu-01709004
10.1002/2017jd028213,
10.1002/2017je005286,insu-01540209
10.1002/2017je005336,insu-01634365
10.1002/2017je005416,insu-01721981
10.1002/2017je005477,insu-01696077
10.1002/2017je005510,insu-01705753
10.1002/2017jg003932,
10.1002/2017jg003989,hal-01806799
10.1002/2017jg004203,hal-01739286
10.1002/2017pa003211,hal-01806795
10.1002/2017pa003227,hal-01713452
10.1002/2017sw001681,hal-02982851
10.1002/2017wr020758,hal-01874218
10.1002/2018gl077199,
10.1002/2018jd028304,hal-01806747
10.1002/2018ms001284,hal-02903402
10.1002/9781118451694.ch4,
10.1002/9781118632321,
10.1002/9781118763070.ch13,
10.1002/9781118945179.ch30,insu-01164782
10.1002/9781119006220.ch12,
10.1002/9781119009009,
10.1002/9781119009009.ch6,
10.1002/9781119009009.ch8,
10.1002/9781119157052.ch2,hal-01812739
10.1002/9781119242604.ch8,
10.1002/9781119332015.ch7,
10.1002/9781119453314,insu-01617648
10.1002/9783527808465.emc2016.6096,hal-01779616
10.1002/acn3.51031,
10.1002/acr.22410,
10.1002/acr.22798,
10.1002/acr.22874,hal-01392345
10.1002/acr.23130,hal-01682947
10.1002/acr.23437,
10.1002/acr.23796,
10.1002/acs.3035,
10.1002/adfm.201502772,
10.1002/adfm.201904958,hal-02383688
10.1002/adhm.201400755,
10.1002/adma.201405179,
10.1002/adma.201502418,
10.1002/admi.201600274,hal-01381122
10.1002/adsc.201500629,
10.1002/adsc.201501139,
10.1002/adsc.201801207,hal-02358288
10.1002/adts.201800080,hal-03044007
10.1002/adts.201800192,hal-03043796
10.1002/aenm.201901431,hal-02344279
10.1002/ajh.23330,
10.1002/ajh.24423,
10.1002/ajh.24451,
10.1002/ajh.24990,
10.1002/ajh.25015,hal-02350106
10.1002/ajh.25055,inserm-02299514
10.1002/ajim.22498,
10.1002/ajim.22671,
10.1002/ajim.22765,hal-02011154
10.1002/ajim.22799,hal-01730385
10.1002/ajim.22823,
10.1002/ajim.22899,hal-01888612
10.1002/ajim.23064,
10.1002/ajim.23067,
10.1002/ajmg.a.37686,
10.1002/ajmg.a.61122,
10.1002/ajmg.a.61175,
10.1002/ajmg.c.31591,
10.1002/ajpa.23246,hal-01576278
10.1002/alr.21782,hal-02448643
10.1002/ana.24519,hal-02065312
10.1002/ana.24781,hal-02165746
10.1002/ana.24819,hal-01602656
10.1002/ana.24900,
10.1002/ana.25065,
10.1002/ana.25771,
10.1002/ana.25932,
10.1002/ana.25951,
10.1002/ange.201410459,hal-01840200
10.1002/ange.201701860,hal-01511158
10.1002/ange.201709303,hal-02128139
10.1002/anie.200201621,
10.1002/anie.200250663,
10.1002/anie.200351486,
10.1002/anie.200352520,
10.1002/anie.200353433,
10.1002/anie.200353484,
10.1002/anie.200390177,
10.1002/anie.200454250,
10.1002/anie.200454251,
10.1002/anie.200460592,
10.1002/anie.200502185,
10.1002/anie.200503776,
10.1002/anie.200700247,
10.1002/anie.200705607,
10.1002/anie.200905627,
10.1002/anie.200905817,
10.1002/anie.201201440,
10.1002/anie.201410459,
10.1002/anie.201507058,
10.1002/anie.201509294,
10.1002/anie.201510855,
10.1002/anie.201600896,
10.1002/anie.201609518,
10.1002/anie.201700290,hal-02113752
10.1002/anie.201701860,
10.1002/anie.201706745,hal-01636928
10.1002/anie.201707346,
10.1002/anie.201709303,hal-02128138
10.1002/anie.201709539,
10.1002/anie.201806522,
10.1002/anie.201811032,hal-02159927
10.1002/anie.201811327,
10.1002/anie.201903553,
10.1002/anie.201903860,hal-02322633
10.1002/anie.202008051,
10.1002/app.46105,
10.1002/art.39072,
10.1002/art.39194,
10.1002/art.39208,
10.1002/art.39628,
10.1002/art.39663,
10.1002/asia.201801684,hal-02353560
10.1002/asl.714,insu-01408828
10.1002/aur.2022,
10.1002/bimj.201400046,
10.1002/bimj.201500098,hal-01140340
10.1002/bimj.201500234,
10.1002/bimj.201900332,
10.1002/bjs.10089,
10.1002/bjs.11457,
10.1002/bjs.11947,
10.1002/brb3.535,hal-01388131
10.1002/ca.22358,
10.1002/ca.22795,
10.1002/ca.22806,
10.1002/ca.23257,
10.1002/ca.23266,
10.1002/cad.20152,
10.1002/cam4.1139,hal-02329451
10.1002/cam4.1186,hal-01622150
10.1002/cam4.1268,
10.1002/cam4.1801,
10.1002/cam4.2121,
10.1002/cam4.2200,
10.1002/cam4.2527,
10.1002/cam4.3241,
10.1002/cam4.419,
10.1002/car.2597,
10.1002/ccd.29159,
10.1002/ccr3.341,
10.1002/ccr3.471,
10.1002/cctc.201600604,
10.1002/cctc.201601275,
10.1002/cctc.201901266,
10.1002/cem.3001,
10.1002/chem.200204670,
10.1002/chem.200305413,
10.1002/chem.200400217,
10.1002/chem.200400769,
10.1002/chem.200500877,
10.1002/chem.200800719,
10.1002/chem.200801856,
10.1002/chem.201000062,
10.1002/chem.201000821,
10.1002/chem.201000913,
10.1002/chem.201405405,
10.1002/chem.201406119,
10.1002/chem.201406565,hal-01725571
10.1002/chem.201406648,
10.1002/chem.201500251,
10.1002/chem.201501609,
10.1002/chem.201503400,
10.1002/chem.201503420,
10.1002/chem.201600202,hal-01971523
10.1002/chem.201600330,
10.1002/chem.201600511,
10.1002/chem.201601173,hal-02338891
10.1002/chem.201602891,
10.1002/chem.201603726,
10.1002/chem.201605906,
10.1002/chem.201700734,hal-01606062
10.1002/chem.201701237,
10.1002/chem.201704116,
10.1002/chem.201705082,hal-02192631
10.1002/chem.201800253,
10.1002/chem.201800707,hal-01890491
10.1002/chem.201801092,hal-01830269
10.1002/chem.201802102,hal-01863768
10.1002/chem.201802671,
10.1002/chem.201803923,
10.1002/chem.201804377,hal-01898795
10.1002/chem.201805055,hal-01926255
10.1002/chem.201902573,hal-02335765
10.1002/chem.201903455,hal-02330833
10.1002/chem.202000739,
10.1002/chem.202002046,
10.1002/chin.201513214,
10.1002/cjas.1480,
10.1002/clc.22881,
10.1002/clc.23131,hal-02899009
10.1002/cmdc.201500025,hal-02061959
10.1002/cncr.29471,
10.1002/cncr.30490,
10.1002/cncr.30885,
10.1002/cncr.31232,
10.1002/cncr.32554,
10.1002/cne.24713,
10.1002/cne.24846,
10.1002/cnm.2859,hal-01326126
10.1002/cnma.201900017,hal-02189414
10.1002/cpa.21568,hal-00760418
10.1002/cpe.3840,
10.1002/cpe.4190,hal-01542912
10.1002/cpe.5551,cea-02383529
10.1002/cphc.201500251,
10.1002/cphc.201501114,hal-01284483
10.1002/cphc.201600508,
10.1002/cphc.201800115,
10.1002/cphc.201800694,hal-02292747
10.1002/cphc.202000289,
10.1002/cplu.201800605,hal-02347078
10.1002/cssc.201500281,
10.1002/cssc.201601816,hal-01582004
10.1002/cssc.201700164,hal-01720962
10.1002/cssc.201701668,hal-01817782
10.1002/ctpp.201700184,hal-01802729
10.1002/ctpp.201800185,
10.1002/cyto.b.21781,
10.1002/cyto.b.21843,
10.1002/da.22724,
10.1002/da.22974,
10.1002/dep2.57,hal-02128739
10.1002/dta.2377,
10.1002/dta.2535,
10.1002/dta.2563,
10.1002/eap.1837,hal-02899839
10.1002/ece3.1895,hal-01270779
10.1002/ece3.2392,
10.1002/ecs2.2452,hal-02976050
10.1002/ecy.1450,hal-02923373
10.1002/ecy.2652,hal-02899791
10.1002/ehf2.12165,
10.1002/ehf2.12925,
10.1002/ejhf.1204,
10.1002/ejhf.1376,
10.1002/ejhf.1423,hal-02153467
10.1002/ejhf.1922,
10.1002/ejhf.478,
10.1002/ejhf.646,
10.1002/eji.201546179,hal-02452542
10.1002/ejic.201500660,
10.1002/ejic.201501204,
10.1002/ejic.201600263,hal-02363957
10.1002/ejic.201600359,
10.1002/ejic.201600410,
10.1002/ejic.201600734,
10.1002/ejic.201670274,
10.1002/ejic.201700598,insu-01576549
10.1002/ejic.201701098,hal-01629238
10.1002/ejic.201701307,
10.1002/ejic.201801284,hal-02179233
10.1002/ejic.201900602,hal-02335711
10.1002/ejic.201900990,hal-02621781
10.1002/ejic.207600410,hal-01465949
10.1002/ejoc.201403597,
10.1002/ejoc.201500201,
10.1002/ejoc.201500207,
10.1002/ejoc.201501342,
10.1002/ejoc.201600394,
10.1002/ejoc.201600649,
10.1002/ejoc.201600657,
10.1002/ejoc.201601249,
10.1002/ejoc.201601271,
10.1002/ejoc.201700231,
10.1002/ejoc.201700859,hal-02619447
10.1002/ejoc.201700895,
10.1002/ejoc.201701222,hal-02624958
10.1002/ejoc.201701443,
10.1002/ejoc.201800143,hal-02348773
10.1002/ejoc.201800324,hal-02358294
10.1002/ejoc.201801167,hal-02172429
10.1002/ejoc.201801439,hal-02348865
10.1002/ejoc.201900067,hal-02363527
10.1002/ejoc.201901244,
10.1002/ejoc.201901252,
10.1002/ejp.1004,
10.1002/ejp.1140,
10.1002/ejp.1297,
10.1002/ejp.1332,
10.1002/ejp.1367,
10.1002/ejp.1378,
10.1002/ejp.1550,
10.1002/ejp.1600,
10.1002/ejp.643,
10.1002/ejp.706,
10.1002/ejp.717,
10.1002/ejp.739,
10.1002/ejp.763,
10.1002/ejp.808,
10.1002/ejp.811,
10.1002/ejp.838,
10.1002/ejp.999,
10.1002/em.22162,
10.1002/em.22204,
10.1002/env.2582,hal-01709061
10.1002/epa2.1034,
10.1002/epa2.1073,hal-02392317
10.1002/erv.2661,hal-02312391
10.1002/erv.2717,
10.1002/erv.2779,
10.1002/erv.2784,
10.1002/esp.3916,
10.1002/esp.4056,hal-01849975
10.1002/esp.4170,hal-01833045
10.1002/fld.4372,
10.1002/fld.4500,
10.1002/gepi.22210,
10.1002/gps.1275,
10.1002/hbm.23739,
10.1002/hec.3271,
10.1002/hed.23952,
10.1002/hed.26279,
10.1002/humu.23411,
10.1002/humu.23635,
10.1002/hyp.10287,
10.1002/hyp.10311,
10.1002/hyp.13422,
10.1002/icd.2032,hal-02567030
10.1002/ijc.26144,
10.1002/ijc.28986,pasteur-01351908
10.1002/ijc.29000,
10.1002/ijc.29034,
10.1002/ijc.29051,
10.1002/ijc.29063,
10.1002/ijc.29067,
10.1002/ijc.29071,
10.1002/ijc.29086,
10.1002/ijc.29175,
10.1002/ijc.29188,
10.1002/ijc.29214,
10.1002/ijc.29223,
10.1002/ijc.29236,
10.1002/ijc.29315,
10.1002/ijc.29335,
10.1002/ijc.29411,
10.1002/ijc.29432,
10.1002/ijc.29446,
10.1002/ijc.29448,
10.1002/ijc.29462,
10.1002/ijc.29469,
10.1002/ijc.29471,
10.1002/ijc.29529,
10.1002/ijc.29559,
10.1002/ijc.29568,
10.1002/ijc.29640,
10.1002/ijc.29643,
10.1002/ijc.29648,hal-01262223
10.1002/ijc.29669,
10.1002/ijc.29693,
10.1002/ijc.29718,
10.1002/ijc.29853,
10.1002/ijc.29987,
10.1002/ijc.30088,
10.1002/ijc.30150,
10.1002/ijc.30158,
10.1002/ijc.30190,
10.1002/ijc.30282,
10.1002/ijc.30415,
10.1002/ijc.30431,
10.1002/ijc.30528,hal-01996181
10.1002/ijc.30536,
10.1002/ijc.30560,
10.1002/ijc.30582,
10.1002/ijc.30590,
10.1002/ijc.30659,
10.1002/ijc.30750,
10.1002/ijc.30790,
10.1002/ijc.30859,
10.1002/ijc.30863,
10.1002/ijc.30880,
10.1002/ijc.31146,
10.1002/ijc.31164,
10.1002/ijc.31172,
10.1002/ijc.31177,
10.1002/ijc.31189,
10.1002/ijc.31215,
10.1002/ijc.31283,
10.1002/ijc.31335,
10.1002/ijc.31367,
10.1002/ijc.31563,
10.1002/ijc.31565,hal-02353095
10.1002/ijc.31570,
10.1002/ijc.31572,
10.1002/ijc.31644,
10.1002/ijc.31650,
10.1002/ijc.31797,
10.1002/ijc.31830,
10.1002/ijc.31854,
10.1002/ijc.31900,
10.1002/ijc.31917,
10.1002/ijc.32033,
10.1002/ijc.32075,
10.1002/ijc.32090,
10.1002/ijc.32091,
10.1002/ijc.32149,cea-02290531
10.1002/ijc.32150,
10.1002/ijc.32165,
10.1002/ijc.32171,
10.1002/ijc.32178,
10.1002/ijc.32257,
10.1002/ijc.32324,
10.1002/ijc.32357,
10.1002/ijc.32386,
10.1002/ijc.32415,
10.1002/ijc.32526,hal-02530602
10.1002/ijc.32555,
10.1002/ijc.32576,
10.1002/ijc.32589,
10.1002/ijc.32621,hal-02550423
10.1002/ijc.32674,
10.1002/ijc.32870,
10.1002/ijc.32894,
10.1002/ijc.32895,
10.1002/ijc.32901,
10.1002/ijc.32934,
10.1002/ijc.32977,
10.1002/ijc.32999,
10.1002/ijc.33024,
10.1002/ijc.33139,
10.1002/ijc.33236,
10.1002/ijc.33282,
10.1002/ijc.33339,
10.1002/ijc.33369,
10.1002/ijch.201800084,
10.1002/ijfe.1501,
10.1002/jbmr.3346,
10.1002/jcp.25018,
10.1002/jcph.1252,hal-02413928
10.1002/jgh3.12309,
10.1002/jia2.25100,
10.1002/jia2.25144,pasteur-01880368
10.1002/jia2.25200,
10.1002/jia2.25221,hal-02024787
10.1002/jia2.25402,hal-02611981
10.1002/jia2.25485,
10.1002/jimd.12272,
10.1002/jmr.2594,hal-01518965
10.1002/jmv.26080,
10.1002/jmv.26354,
10.1002/jnr.24180,
10.1002/joc.4497,insu-01352110
10.1002/joc.4640,hal-01872514
10.1002/joc.4844,
10.1002/joc.5422,insu-01688391
10.1002/joc.5462,hal-02326151
10.1002/joc.5469,hal-02326137
10.1002/joc.5487,hal-01862692
10.1002/joc.5763,hal-02017445
10.1002/joc.5924,insu-01925780
10.1002/joc.5960,insu-01964572
10.1002/jqs.2755,hal-01806680
10.1002/jqs.2809,hal-01805205
10.1002/jqs.3082,hal-02347693
10.1002/jqs.3094,hal-02392641
10.1002/jqs.3157,
10.1002/jrs.4617,
10.1002/jrs.4646,
10.1002/jso.21657,
10.1002/jssc.201701293,
10.1002/jts5.18,
10.1002/jum.14275,
10.1002/kin.20924,
10.1002/kin.20989,
10.1002/kin.21096,
10.1002/kin.21131,
10.1002/kin.21172,
10.1002/kin.21190,
10.1002/lary.27477,
10.1002/lary.28756,
10.1002/lary.28841,
10.1002/lary.28926,
10.1002/lary.28993,
10.1002/ldr.2387,cea-02610586
10.1002/ldr.2662,cea-02631110
10.1002/ldr.2690,hal-01940766
10.1002/ldr.2917,hal-02020809
10.1002/lno.10307,
10.1002/lom3.10036,
10.1002/lt.24092,hal-01150386
10.1002/macp.201600352,
10.1002/macp.201700192,hal-01774175
10.1002/mdc3.12201,
10.1002/mds.27447,
10.1002/mds.27791,hal-02479311
10.1002/mds.27854,hal-02384164
10.1002/met.1587,
10.1002/mgg3.389,
10.1002/mma.3059,
10.1002/mma.3476,
10.1002/mma.3770,hal-01167906
10.1002/mnfr.201900659,
10.1002/mop.28944,
10.1002/mop.30195,
10.1002/mpr.1522,hal-02410085
10.1002/mpr.1552,
10.1002/mpr.1566,
10.1002/mpr.1597,
10.1002/mpr.1815,
10.1002/mpr.1847,
10.1002/mrc.1422,
10.1002/mrc.3798,
10.1002/mrc.4601,hal-01796548
10.1002/mrc.4800,hal-01898331
10.1002/mrm.26857,
10.1002/mus.24604,
10.1002/mus.24634,
10.1002/mus.25018,
10.1002/mus.25220,hal-01346093
10.1002/mus.25608,
10.1002/mus.26074,
10.1002/mus.26137,
10.1002/mus.26312,hal-02297512
10.1002/mus.26403,
10.1002/mus.26483,
10.1002/nau.22752,
10.1002/nau.22879,
10.1002/nau.22932,inserm-01262619
10.1002/nau.23352,
10.1002/nau.23957,
10.1002/nau.24047,
10.1002/nau.24237,
10.1002/num.22043,hal-02166375
10.1002/num.22363,hal-02043513
10.1002/num.22454,
10.1002/oa.2583,hal-01758175
10.1002/oby.21199,
10.1002/oby.22317,
10.1002/oby.22466,hal-02393497
10.1002/open.202000042,
10.1002/path.4519,
10.1002/path.4880,
