,Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,Currency
389,Acta Cirurgica Brasileira,0102-8650,,800.0,BRL - Brazilian Real
397,Biotemas,0103-1643,2175-7925,350.0,BRL - Brazilian Real
401,Revista de Economia e Sociologia Rural,0103-2003,1806-9479,600.0,BRL - Brazilian Real
403,Acta Paulista de Enfermagem,0103-2100,,1600.0,BRL - Brazilian Real
411,Revista da Educação Física,0103-3948,1983-3083,800.0,BRL - Brazilian Real
419,Journal of the Brazilian Chemical Society,0103-5053,1678-4790,1450.0,BRL - Brazilian Real
421,Fisioterapia em Movimento,0103-5150,1980-5918,600.0,BRL - Brazilian Real
427,Brazilian Dental Journal,0103-6440,1806-4760,550.0,BRL - Brazilian Real
441,Revista Brasileira de Parasitologia Veterinária,0103-846X,1984-2961,500.0,BRL - Brazilian Real
442,Ciência Rural,0103-8478,1678-4596,700.0,BRL - Brazilian Real
446,Scientia Agricola,0103-9016,1678-992X,560.0,USD - US Dollar
449,Ciência Florestal,0103-9954,1980-5098,250.0,BRL - Brazilian Real
456,Texto & Contexto Enfermagem,0104-0707,1980-265X,730.0,BRL - Brazilian Real
458,Cultura Agronômica,0104-1010,2446-8355,200.0,BRL - Brazilian Real
475,Cadernos de Terapia Ocupacional,0104-4931,2238-2860,220.0,BRL - Brazilian Real
484,Journal of the Brazilian Computer Society ,0104-6500,1678-4804,695.0,GBP - Pound Sterling
510,Revista Colombiana de Ciencias Pecuarias,0120-0690,2256-2958,200.0,USD - US Dollar
580,Vitae,0121-4004,2145-2660,100.0,USD - US Dollar
650,Infectio,0123-9392,,100.0,USD - US Dollar
683,Acta Medica Indonesiana,0125-9326,2338-2732,5000000.0,IDR - Rupiah
691,Media Peternakan,0126-0472,2087-4634,250.0,USD - US Dollar
692,AGRIVITA Journal of Agricultural Science,0126-0537,2477-8516,250.0,USD - US Dollar
694,Majalah Kedokteran Bandung,0126-074X,2338-6223,1500000.0,IDR - Rupiah
702,Ilmu Pertanian (Agricultural Science),0126-4214,2527-7162,1000000.0,IDR - Rupiah
703,Buletin Peternakan,0126-4400,2407-876X,800000.0,IDR - Rupiah
710,International Journal of Engineering Materials and Manufacture,,0128-1852,200.0,USD - US Dollar
712,"3L Language, Linguistics and Literature: The Southeast Asian Journal of English Language Studies",0128-5157,,300.0,USD - US Dollar
728,Agricultural Economics (AGRICECON),0139-570X,1805-9295,320.0,EUR - Euro
729,Energy Exploration & Exploitation,0144-5987,2048-4054,1200.0,USD - US Dollar
730,Bioscience Reports,0144-8463,1573-4935,1550.0,USD - US Dollar
731,"Ear, Nose & Throat Journal",0145-5613,1942-7522,1000.0,USD - US Dollar
733,Journal of Food Quality,0146-9428,1745-4557,1900.0,USD - US Dollar
735,Environment International,0160-4120,,3500.0,USD - US Dollar
736,Scanning,0161-0457,1932-8745,1300.0,USD - US Dollar
737,International Journal of Mathematics and Mathematical Sciences,0161-1712,1687-0425,975.0,USD - US Dollar
740,Veterinary Quarterly,0165-2176,1875-5941,1200.0,USD - US Dollar
758,Ciencias Marinas,0185-3880,2395-9053,15.0,USD - US Dollar
769,Terra Latinoamericana,0187-5779,2395-8030,2200.0,MXN - Mexican Peso
785,African Journal of Paediatric Surgery,0189-6725,0974-5998,150.0,USD - US Dollar
786,Journal of Advanced Transportation,0197-6729,2042-3195,2100.0,USD - US Dollar
850,Nutrición Hospitalaria,0212-1611,1699-5198,450.0,EUR - Euro
857,Atención Primaria,0212-6567,1578-1275,700.0,EUR - Euro
858,Boletín de la Asociación de Geógrafos Españoles,0212-9426,2605-3322,423.0,EUR - Euro
859,Anales de Psicología,0212-9728,,200.0,EUR - Euro
864,Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería ,0213-1315,1886-158X,700.0,EUR - Euro
883,Gaceta Sanitaria,0213-9111,1578-1283,450.0,EUR - Euro
906,INFAD,0214-9877,2603-5987,200.0,EUR - Euro
912,Majalah Geografi Indonesia,0215-1790,2540-945X,500000.0,IDR - Rupiah
917,Jurnal Fitopatologi Indonesia,0215-7950,2339-2479,1500000.0,IDR - Rupiah
920,Agro Ekonomi,0215-8787,2541-1616,1000000.0,IDR - Rupiah
926,Agritech,0216-0455,2527-3825,750000.0,IDR - Rupiah
929,Cakrawala Pendidikan: Jurnal Ilmiah Pendidikan,0216-1370,2442-8620,1000000.0,IDR - Rupiah
931,Jurnal Studi Al-Quran,0216-1648,2339-2614,25.0,USD - US Dollar
933,Jurnal Profesi Medika,0216-3438,2621-1122,800000.0,IDR - Rupiah
938,Planta Tropika: Jurnal Agrosains,0216-499X,2528-7079,300000.0,IDR - Rupiah
943,Jurnal Agroqua,0216-6585,2598-4071,300000.0,IDR - Rupiah
953,Journal of Integrative Neuroscience,0219-6352,1757-448X,1750.0,USD - US Dollar
966,Folia Histochemica et Cytobiologica,0239-8508,1897-5631,370.0,EUR - Euro
980,Iranian Journal of Medical Sciences,0253-0716,1735-3688,12000000.0,IRR - Iranian Rial
981,The Medical Journal of Basrah University ,0253-0759,2413-4414,75.0,USD - US Dollar
988,한국균학회지,0253-651X,2383-5249,300000.0,KRW - Won
990,Pakistan Veterinary Journal,0253-8318,2074-7764,300.0,USD - US Dollar
992,South African Journal of Enology and Viticulture,0253-939X,2224-7904,5000.0,ZAR - Rand
995,Scriptura,0254-1807,2305-445X,7200.0,ZAR - Rand
999,Mehran University Research Journal of Engineering and Technology,0254-7821,2413-7219,10000.0,PKR - Pakistan Rupee
1004,Indian Journal of Medical Microbiology,0255-0857,1998-3646,150.0,USD - US Dollar
1005,South African Journal of Education,0256-0100,2076-3433,5500.0,ZAR - Rand
1009,South African Journal of Libraries and Information Science,0256-8861,2304-8263,2000.0,ZAR - Rand
1010,Missionalia: Southern African Journal of Missiology,0256-9507,2312-878X,3000.0,ZAR - Rand
1016,Literator,0258-2279,2219-8237,772.0,ZAR - Rand
1018,SA Journal of Industrial Psychology,0258-5200,2071-0763,1035.0,ZAR - Rand
1024,Dianzi Jishu Yingyong,0258-7998,,1696.0,CNY - Yuan Renminbi
1027,Per Linguam : A Journal of Language Learning,0259-2312,2224-0012,250.0,ZAR - Rand
1028,Journal of Education,0259-479X,2520-9868,4500.0,ZAR - Rand
1029,HTS Teologiese Studies/Theological Studies ,0259-9422,2072-8050,1275.0,ZAR - Rand
1030,Annals of Glaciology,0260-3055,1727-5644,1200.0,GBP - Pound Sterling
1031,Journal of Micropalaeontology,0262-821X,2041-4978,780.0,EUR - Euro
1032,Adsorption Science & Technology,0263-6174,2048-4038,1200.0,USD - US Dollar
1033,Materials & Design,0264-1275,1873-4197,2000.0,USD - US Dollar
1035,International Journal of Hyperthermia,0265-6736,1464-5157,1950.0,USD - US Dollar
1036,International Journal of Adolescence and Youth,0267-3843,2164-4527,800.0,USD - US Dollar
1037,Journal of Freshwater Ecology,0270-5060,2156-6941,1200.0,USD - US Dollar
1039,Mountain Research and Development,0276-4741,1994-7151,850.0,USD - US Dollar
1040,Disease Markers,0278-0240,1875-8630,1900.0,USD - US Dollar
1041,Scandinavian Journal of Primary Health Care,0281-3432,1502-7724,1500.0,EUR - Euro
1045,Photosynthetica,0300-3604,1573-9058,690.0,EUR - Euro
1054,Akroterion,0303-1896,2079-2883,1000.0,ZAR - Rand
1066,Nucleic Acids Research,0305-1048,1362-4962,2770.0,USD - US Dollar
1084,Meteorologica,0325-187X,1850-468X,3500.0,ARS - Argentine Peso
1090,Revista Argentina de Microbiología,0325-7541,1851-7617,1400.0,USD - US Dollar
1098,Ciencia del Suelo ,0326-3169,1850-2067,2000.0,ARS - Argentine Peso
1109,Horticultura Argentina,0327-3431,1851-9342,200.0,ARS - Argentine Peso
1110,Anales (Asociación Física Argentina),0327-358X,1850-1168,1500.0,ARS - Argentine Peso
1120,Agriscientia,0327-6244,1668-298X,15.0,USD - US Dollar
1143,Nigerian Journal of Technology,0331-8443,2467-8821,185.0,USD - US Dollar
1152,Nota Lepidopterologica,0342-7536,2367-5365,100.0,EUR - Euro
1167,Građevinar,0350-2465,1333-9095,60.0,EUR - Euro
1189,Ekonomika Poljoprivrede (1979),0352-3462,2334-8453,15000.0,RSD - Serbian Dinar
1198, Informacije MIDEM,0352-9045,2232-6979,200.0,EUR - Euro
1200,Folia Medica Facultatis Medicinae Universitatis Saraeviensis,0352-9630,2303-6141,50.0,EUR - Euro
1210,Promet (Zagreb),0353-5320,1848-4069,350.0,EUR - Euro
1240,Thermal Science,0354-9836,,150.0,EUR - Euro
1254,Chinese Medical Journal,0366-6999,2542-5641,2000.0,USD - US Dollar
1256,Фармацевтичний журнал,0367-3057,2617-9628,1600.0,UAH - Hryvnia
1259,Hemijska Industrija ,0367-598X,2217-7426,100.0,EUR - Euro
1260,Kazanskij Medicinskij Žurnal,0368-4814,2587-9359,9800.0,RUB - Russian Ruble
1265,Revista de la Facultad de Ciencias Agrarias,0370-4661,1853-8665,300.0,USD - US Dollar
1266,Revista Industrial y Agrícola de Tucumán,0370-5404,1851-3018,26.0,ARS - Argentine Peso
1279,Veterinární Medicína,0375-8427,1805-9392,320.0,EUR - Euro
1283,Indian Journal of Pathology and Microbiology,0377-4929,0974-5130,200.0,USD - US Dollar
1289,Theologia Viatorum,0378-4142,2664-2980,10960.0,ZAR - Rand
1298,South African Journal of Physiotherapy,0379-6175,2410-8219,590.0,ZAR - Rand
1301,Curationis,0379-8577,2223-6279,1220.0,ZAR - Rand
1304,Cell Structure and Function,0386-7196,1347-3700,100000.0,JPY - Yen
1306,Haematologica,0390-6078,1592-8721,2000.0,EUR - Euro
1308,La Pediatria Medica e Chirurgica,0391-5387,2420-7748,500.0,EUR - Euro
1309,Rassegna Iberistica,0392-4777,2037-6588,300.0,EUR - Euro
1322,Pharmacia,0428-0296,2603-557X,100.0,EUR - Euro
1328,Helminthologia,0440-6605,1336-9083,105.0,EUR - Euro
1329,Journal of Radiation Research,0449-3060,1349-9157,1000.0,GBP - Pound Sterling
1337,Medycyna Pracy,0465-5893,2353-1339,500.0,EUR - Euro
1346,Yonsei Medical Journal,0513-5796,1976-2437,700.0,USD - US Dollar
1359,Metalurgija,0543-5846,1334-2576,650.0,EUR - Euro
1365,Поліграфія і видавнича справа,0554-4866,,800.0,UAH - Hryvnia
1373,Acta Palaeontologica Polonica,0567-7920,1732-2421,22.0,EUR - Euro
1378,Annals of Agricultural Sciences,0570-1783,,85.0,USD - US Dollar
1381,Medical Journal of Chinese People's Liberation Army,0577-7402,,1000.0,CNY - Yuan Renminbi
1400,Revista Chilena de Historia Natural,0716-078X,0717-6317,1240.0,GBP - Pound Sterling
1418,Biological Research,0716-9760,0717-6287,1430.0,GBP - Pound Sterling
1424,Electronic Journal of Biotechnology,,0717-3458,1100.0,USD - US Dollar
1434,Medwave,,0717-6384,600.0,USD - US Dollar
1463,Latin American Journal of Aquatic Research ,,0718-560X,300.0,USD - US Dollar
1466,Chilean Journal of Agricultural Research,,0718-5839,650.0,USD - US Dollar
1497,Journal of Pharmacy & Pharmacognosy Research,,0719-4250,250.0,USD - US Dollar
1500,Revista Inclusiones,,0719-4706,80.0,USD - US Dollar
1526,Advances in Polymer Technology,0730-6679,1098-2329,1900.0,USD - US Dollar
1528,BioTechniques,0736-6205,1940-9818,1415.0,USD - US Dollar
1543,Polar Research,0800-0395,1751-8369,790.0,EUR - Euro
1544,På Spissen,0800-2452,2464-2258,4000.0,NOK - Norwegian Krone
1563,Alces : A Journal Devoted to the Biology and Management of Moose,0835-5851,,30.0,CAD - Canadian Dollar
1564,Canadian Journal of Gastroenterology,0835-7900,1916-7237,1900.0,USD - US Dollar
1567,Forum Geografi,0852-0682,2460-3945,1000000.0,IDR - Rupiah
1569,Reaktor,0852-0798,2407-5973,1000000.0,IDR - Rupiah
1570,Humaniora,0852-0801,2302-9269,80.0,USD - US Dollar
1571,Yustisia,0852-0941,2549-0907,1500000.0,IDR - Rupiah
1573,Mimbar Hukum,0852-100X,2443-0994,500000.0,IDR - Rupiah
1577,Journal of Tropical Soils,0852-257X,2086-6682,125.0,USD - US Dollar
1581,Journal of Biological Researches,0852-6834,2337-389X,1625000.0,IDR - Rupiah
1589,Medical Journal of Indonesia,0853-1773,2252-8083,300.0,USD - US Dollar
1591,Biosfer,0853-2451,2614-3984,600000.0,IDR - Rupiah
1592,Jurnal Teknik Sipil,0853-2982,2549-2659,1000000.0,IDR - Rupiah
1597,Habitat,0853-5167,2338-2007,500000.0,IDR - Rupiah
1603,Jurnal Siasat Bisnis,0853-7666,2528-7001,76.0,USD - US Dollar
1604,Indonesian Journal of Biotechnology,0853-8654,2089-2241,750000.0,IDR - Rupiah
1606,Majalah Ilmiah Peternakan,0853-8999,2656-8373,20.0,USD - US Dollar
1608,Jurnal Ketahanan Nasional,0853-9340,2527-9688,500000.0,IDR - Rupiah
1611,Paramita: Historical Studies Journal,0854-0039,2407-5825,1500000.0,IDR - Rupiah
1612,Majalah Obstetri dan Ginekologi,0854-0381,2598-1013,200000.0,IDR - Rupiah
1626,Jurnal Pendidikan Teknologi dan Kejuruan,0854-4735,2477-2410,200000.0,IDR - Rupiah
1628,Kanun: Jurnal Ilmu Hukum,0854-5499,2527-8428,400000.0,IDR - Rupiah
1629,Jurnal Manusia dan Lingkungan,0854-5510,2460-5727,600000.0,IDR - Rupiah
1631,Jurnal Kedokteran Gigi Universitas Padjadjaran,0854-6002,2549-6514,300000.0,IDR - Rupiah
1636,Sekolah Dasar: Kajian Teori dan Praktik Pendidikan,0854-8285,2581-1983,500000.0,IDR - Rupiah
1637,Wahana Sekolah Dasar,0854-8293,2622-5883,100000.0,IDR - Rupiah
1638,Jurnal Media Hukum,0854-8919,2503-1023,1500000.0,IDR - Rupiah
1643,Thai Journal of Obstetrics and Gynaecology,0857-6084,,100.0,USD - US Dollar
1646,Biology of Sport,0860-021X,2083-1862,230.0,EUR - Euro
1654,Ceramics-Silikáty,0862-5468,1804-5847,400.0,EUR - Euro
1657,Physiological Research,0862-8408,1802-9973,800.0,EUR - Euro
1660,Horticultural Science,0862-867X,1805-9333,320.0,EUR - Euro
1672,Archives of Transport,0866-9546,2300-8830,350.0,EUR - Euro
1691,Revista de Ciências Agrárias,0871-018X,2183-041X,150.0,EUR - Euro
1720,Active and Passive Electronic Components,0882-7516,1563-5031,1025.0,USD - US Dollar
1722,Renal Failure,0886-022X,1525-6049,1500.0,GBP - Pound Sterling
1725,Microbial Ecology in Health and Disease,0891-060X,1651-2235,1600.0,EUR - Euro
1727,Journal of Veterinary Internal Medicine,0891-6640,1939-1676,1650.0,USD - US Dollar
1730,Journal of Interventional Cardiology,0896-4327,1540-8183,1600.0,USD - US Dollar
1732,Sensors and Materials,0914-4935,2435-0869,99360.0,JPY - Yen
1734,Journal of Epidemiology,0917-5040,1349-9092,120000.0,JPY - Yen
1737,Analytical Cellular Pathology,0921-8912,1878-3651,1300.0,USD - US Dollar
1741,European Psychiatry,0924-9338,1778-3585,2200.0,EUR - Euro
1743,Veterinary Research,0928-4249,1297-9716,1180.0,GBP - Pound Sterling
1745,Journal of the Formosan Medical Association,0929-6646,,1000.0,USD - US Dollar
1746,Pteridines,0933-4807,2195-4720,1500.0,EUR - Euro
1748,Meteorologische Zeitschrift,0941-2948,1610-1227,1300.0,EUR - Euro
1750,Behavioural Neurology ,0953-4180,1875-8584,1600.0,USD - US Dollar
1752,Food and Agricultural Immunology,0954-0105,1465-3443,1500.0,GBP - Pound Sterling
1753,Chemical Speciation & Bioavailability,0954-2299,2047-6523,1000.0,USD - US Dollar
1756,Cell Proliferation,0960-7722,1365-2184,2150.0,USD - US Dollar
1757,Mediators of Inflammation,0962-9351,1466-1861,1900.0,USD - US Dollar
1758,Cell Transplantation,0963-6897,1555-3892,2750.0,USD - US Dollar
1759,Advanced Composites Letters,0963-6935,2633-366X,1200.0,USD - US Dollar
1762,Occupational Therapy International,0966-7903,1557-0703,1300.0,USD - US Dollar
1764,Reproductive Health Matters,0968-8080,1460-9576,1700.0,EUR - Euro
1766,Indian Journal of Community Medicine,0970-0218,1998-3581,80.0,USD - US Dollar
1775,Indian Journal of Dental Research,0970-9290,1998-3603,150.0,USD - US Dollar
1778,Journal of Applied Animal Research,0971-2119,0974-1844,800.0,USD - US Dollar
1780,Journal of Extension Education,0971-3123,2456-1282,1800.0,INR - Indian Rupee
1800,Nature Environment and Pollution Technology,0972-6268,2395-3454,575.0,USD - US Dollar
1803,Industrial Psychiatry Journal,0972-6748,0976-2795,60.0,USD - US Dollar
1804,Journal of Function Spaces and Applications,0972-6802,,1900.0,USD - US Dollar
1805,AKCE International Journal of Graphs and Combinatorics,0972-8600,2543-3474,1200.0,USD - US Dollar
1806,Veterinary World,0972-8988,2231-0916,300.0,USD - US Dollar
1808,Journal of Minimal Access Surgery,0972-9941,1998-3921,200.0,USD - US Dollar
1813,E-Journal of Chemistry,0973-4945,2090-9810,1600.0,USD - US Dollar
1817,Journal of Stem Cells and Regenerative Medicine,,0973-7154,380.0,USD - US Dollar
1819,Journal of Pure and Applied Microbiology,0973-7510,2581-690X,500.0,USD - US Dollar
1820,Carbon: Science and Technology,,0974-0546,300.0,USD - US Dollar
1825,"Journal of Emergencies, Trauma and Shock",0974-2700,0974-519X,600.0,USD - US Dollar
1826,Journal of Laboratory Physicians,0974-2727,0974-7826,200.0,USD - US Dollar
1830,Journal of Carcinogenesis,0974-6773,1477-3163,1500.0,USD - US Dollar
1832,Journal of Global Infectious Diseases,0974-777X,0974-8245,400.0,USD - US Dollar
1833,Urology Annals,0974-7796,0974-7834,100.0,USD - US Dollar
1836,Shodh Sanchayan,0975-1254,2249-9180,700.0,INR - Indian Rupee
1838,Rupkatha Journal on Interdisciplinary Studies in Humanities ,,0975-2935,150.0,USD - US Dollar
1842,Chronicles of Young Scientists,,0975-9212,8000.0,INR - Indian Rupee
1844,Journal of Ayurveda and Integrative Medicine,0975-9476,0976-2809,1800.0,USD - US Dollar
1848,Contemporary Clinical Dentistry,0976-237X,0976-2361,250.0,USD - US Dollar
1849,Journal of Neurosciences in Rural Practice,0976-3147,0976-3155,125.0,USD - US Dollar
1850,Indian Journal of Dental Sciences,0976-4003,2231-2293,150.0,USD - US Dollar
1851,Journal of Pharmacy and Bioallied Sciences,0976-4879,0975-7406,250.0,USD - US Dollar
1855,Journal of Advanced Laboratory Research in Biology,,0976-7614,50.0,USD - US Dollar
1858,Geodinamica Acta,0985-3111,1778-3593,1000.0,USD - US Dollar
1860,Annales Geophysicae,0992-7689,1432-0576,1100.0,EUR - Euro
1864,Genetics Selection Evolution,0999-193X,1297-9686,1175.0,GBP - Pound Sterling
1865,Xibei Gongye Daxue Xuebao ,1000-2758,2609-7125,470.0,CNY - Yuan Renminbi
1866,Chinese Journal of Magnetic Resonance,1000-4556,,1000.0,CNY - Yuan Renminbi
1867,Chinese Journal of Cancer,1000-467X,1944-446X,1370.0,GBP - Pound Sterling
1868,Journal of Shanghai Normal University (Natural Sciences),1000-5137,,100.0,CNY - Yuan Renminbi
1869,Journal of Isotopes,1000-7512,,200.0,CNY - Yuan Renminbi
1870,Zhongliu Fangzhi Yanjiu,1000-8578,,500.0,CNY - Yuan Renminbi
1873,Acta Geodaetica et Cartographica Sinica,1001-1595,,600.0,CNY - Yuan Renminbi
1874,Journal of Materials Engineering,1001-4381,,2400.0,CNY - Yuan Renminbi
1875,Linchuang Gandanbing Zazhi,1001-5256,,2500.0,CNY - Yuan Renminbi
1876,Journal of Infrared and Millimeter Waves ,1001-9014,,300.0,USD - US Dollar
1878,Journal of Chinese Pharmaceutical Sciences,1003-1057,,300.0,USD - US Dollar
1880,Journal of Aeronautical Materials,1005-5053,,1500.0,CNY - Yuan Renminbi
1881,Chinese Journal of Engineering Design,1006-754X,,3000.0,CNY - Yuan Renminbi
1883,Journal of Harbin University of Science and Technology,1007-2683,,200.0,CNY - Yuan Renminbi
1886,Asian Journal of Andrology,1008-682X,1745-7262,4900.0,CNY - Yuan Renminbi
1887,Chinese Journal of Lung Cancer,1009-3419,1999-6187,1000.0,CNY - Yuan Renminbi
1891,Tumor Biology,1010-4283,1423-0380,1500.0,USD - US Dollar
1892,Medicina,1010-660X,1648-9144,1500.0,CHF - Swiss Franc
1894,Old Testament Essays,1010-9919,2312-3621,200.0,ZAR - Rand
1896,Asian-Australasian Journal of Animal Sciences,1011-2367,1976-5517,370.0,USD - US Dollar
1897,South African Journal of Higher Education,1011-3487,1753-5913,370.0,ZAR - Rand
1902,Journal for the Study of Religion,1011-7601,2413-3027,2500.0,ZAR - Rand
1903,Journal of Korean Medical Science,1011-8934,1598-6357,900000.0,KRW - Won
1905,Pythagoras,1012-2346,2223-7895,624.0,ZAR - Rand
1906,South African Journal of Industrial Engineering,1012-277X,2224-7890,1250.0,ZAR - Rand
1913,Herpetozoa,1013-4425,2682-955X,500.0,EUR - Euro
1917,South African Computer Journal,1015-7999,2313-7835,6000.0,ZAR - Rand
1918,South African Journal of Economic and Management Sciences,1015-8812,2222-3436,1016.0,ZAR - Rand
1919,Cellular Physiology and Biochemistry,1015-8987,1421-9778,1785.0,EUR - Euro
