journal_full_title,2015,2016,2017,2018,2019,2020,issn,issn_print,issn_electronic,issn_l
PLOS Pathogens,2096.1631372549027,2127.885714285714,2236.3019718309865,2081.1953125,2159.7553333333326,,1553-7374,,1553-7374,1553-7366
Journal of Inequalities and Applications,710.0,2015.0,842.0,1231.0,885.36,,1029-242X,1029-242X,,1025-5834
BMC Research Notes,958.5992307692308,1004.9006060606063,1031.4039393939393,979.5561111111112,1070.9926666666668,,1756-0500,1756-0500,1756-0500,1756-0500
SpringerPlus,778.077,969.3482608695648,1105.0,,,,2193-1801,2193-1801,2193-1801,2193-1801
EJNMMI Research,1439.118,1494.9076923076925,1499.15,1526.0740000000005,1789.5957142857144,,2191-219X,2191-219X,,2191-219X
The Journal of Headache and Pain,1397.6542857142856,1466.87,2015.0,1548.95,1721.3366666666668,,1129-2377,1129-2377,1129-2377,1129-2369
Radiation Oncology,1655.92,1676.5681818181815,1620.247142857143,1688.4104545454547,1815.7431818181815,,1748-717X,1748-717X,1748-717X,1748-717X
Diagnostic Pathology,1644.6699999999996,1690.86,1745.0,1661.24,,,1746-1596,1746-1596,1746-1596,1746-1596
Retrovirology,1747.03875,1802.992857142857,1976.06,1885.37,,,1742-4690,1742-4690,1742-4690,1742-4690
Parasites & Vectors,1712.3237500000002,1731.9596551724142,1781.3991176470583,1632.752075471698,1803.3250000000005,,1756-3305,1756-3305,,1756-3305
Orphanet Journal of Rare Diseases,1824.627894736842,1836.9658823529408,1876.3791666666668,1846.7941176470588,1915.455,,1750-1172,1750-1172,,1750-1172
BMC Cancer,1687.6926470588235,1654.4914035087716,1692.5137931034485,1678.8068518518514,1753.7365853658537,,1471-2407,1471-2407,1471-2407,1471-2407
BMC Ophthalmology,1900.34,1483.336,1651.6314285714286,1682.14,1632.674,,1471-2415,1471-2415,1471-2415,1471-2415
Critical Care,1778.912857142857,1893.9788888888888,2129.599,2091.5944444444444,1934.665,,1364-8535,1364-8535,,1364-8535
BMC Gastroenterology,1661.0320000000002,1622.2166666666665,1578.01,1681.8916666666669,1684.818,,1471-230X,1471-230X,1471-230X,1471-230X
BMC Psychiatry,1690.2675757575753,1667.0317777777775,1689.98,1643.046285714286,1802.1196153846154,1870.0,1471-244X,1471-244X,1471-244X,1471-244X
Virology Journal,1643.476666666667,1607.09,1708.6525,1635.416666666667,1865.9266666666665,,1743-422X,1743-422X,1743-422X,1743-422X
World Journal of Surgical Oncology,1737.0100000000002,1917.625,2035.168,2003.96,1837.2116666666668,,1477-7819,1477-7819,1477-7819,1477-7819
Behavioral and Brain Functions,1620.47,2001.3933333333327,1800.0,1661.24,,,1744-9081,1744-9081,,1744-9081
BMC Complementary and Alternative Medicine,1604.05,1654.8966666666665,1626.355,1662.6714285714286,1760.803333333333,,1472-6882,1472-6882,1472-6882,1472-6882
Frontiers in Zoology,1644.875,1793.986,1728.3359999999998,1747.1775,1787.8457142857144,,1742-9994,1742-9994,,1742-9994
AIP Advances,1289.7052631578947,1262.3654166666665,1324.9229999999998,1284.8957692307692,1351.3989473684214,,2158-3226,,2158-3226,2158-3226
"Proceedings of the American Mathematical Society, Series B",698.105,2015.0,824.395,523.325,,,2330-1511,,2330-1511,2330-1511
Journal of Nutritional Science,1000.0,1289.99,1475.9450000000004,1184.25,,,2048-6790,,2048-6790,2048-6790
Tellus A,1435.5525,1394.791666666667,1272.9077777777775,1569.3175,1282.1375,,1600-0870,0280-6495,1600-0870,0280-6495
Atmospheric Measurement Techniques Discussions,1146.5410714285713,1139.0,2015.0,1481.7179999999998,,,1867-8610,,1867-8610,1867-8610
Frontiers in Physiology,1066.9037037037035,1840.495263157895,1854.1999038461536,2121.4462111801245,2172.8106122448976,1488.335,1664-042X,,1664-042X,1664-042X
Frontiers in Plant Science,1235.7389855072465,1682.5540277777775,1886.9797872340428,2063.0168686868687,2237.227323943662,1851.845,1664-462X,,1664-462X,1664-462X
Energies,1126.118888888889,1097.1273913043476,1325.5834210526316,1193.2341836734695,1360.2624210526315,1685.095,1996-1073,,1996-1073,1996-1073
Remote Sensing,1284.020322580645,1415.588181818182,1387.13825,1314.8244444444445,1365.9467741935484,,2072-4292,,2072-4292,2072-4292
International Journal of Molecular Sciences,1486.3113157894738,1493.8459999999998,1550.2118867924523,1468.7265789473686,1432.7945161290322,1592.0661538461538,1422-0067,,1422-0067,1422-0067
PLOS Neglected Tropical Diseases,1990.2716279069766,2033.05875,2058.8990123456792,2056.6656666666668,2132.052391304348,,1935-2735,,1935-2735,1935-2727
Meteorologische Zeitschrift,1734.256666666667,1534.902,1560.666666666667,1543.3277777777778,1775.8249999999996,,0941-2948,,,0941-2948
Advances in Pure Mathematics,,,,673.2083333333334,,,2160-0368,2160-0368,2160-0384,2160-0384
Psychology,710.1700000000002,636.38,687.0,633.0,,,2152-7180,2152-7180,2152-7199,2152-7180
"Psychology of Well-Being: Theory, Research and Practice",,,773.72,,,,2211-1522,2211-1522,2211-1522,2211-1522
"Earth, Planets and Space",540.84,285.6,900.0,1012.8033333333333,1106.0433333333333,,1880-5981,1880-5981,,1343-8832
BMC Family Practice,1708.6033333333332,1627.1699999999996,1565.47625,1723.7700000000002,1610.602,1661.24,1471-2296,1471-2296,1471-2296,1471-2296
AMB Express,1539.7937499999996,1646.2,1676.86125,1735.1133333333335,1541.145,,2191-0855,2191-0855,2191-0855,2191-0855
BMC Microbiology,1554.8652941176472,1656.7780769230767,1638.9740000000006,1551.5883333333334,1655.53375,1845.0,1471-2180,1471-2180,,1471-2180
BMC Veterinary Research,1659.4094117647055,1548.7961538461536,1510.862,1540.1308333333334,1714.5385714285712,,1746-6148,1746-6148,,1746-6148
BMC Biology,2030.798125,2021.912307692308,2019.6660000000002,2270.072307692308,2163.262857142857,,1741-7007,1741-7007,,1741-7007
Evolutionary Applications,1540.172,1789.4475,1788.9115384615384,1556.7888888888888,1678.07875,,1752-4571,,,1752-4571
Natural Hazards and Earth System Sciences,1173.13,1434.525,1450.9246153846154,1403.6263636363635,1713.152,,1684-9981,,1684-9981,1561-8633
Annales Geophysicae,578.7476923076923,345.3525,839.7384210526317,1029.519375,1164.771111111111,,1432-0576,,1432-0576,0992-7689
Natural Hazards and Earth System Sciences Discussions,1052.665,1370.88,887.86,,,,2195-9269,,2195-9269,2195-9269
The Cryosphere,1543.8828571428573,1229.1341176470587,1462.9648148148144,1731.2635714285714,1617.1568000000002,,1994-0424,,1994-0424,1994-0416
Atmospheric Measurement Techniques,1310.6303125,1559.4985714285715,1521.2696363636364,1589.5812,1634.6602272727273,,1867-8548,,1867-8548,1867-1381
Climate of the Past,1190.2523076923078,1236.035,1755.1660000000004,1704.0529166666665,1580.6626315789472,1438.71,1814-9332,,1814-9332,1814-9324
Hydrology and Earth System Sciences,1156.5327777777775,1342.7995,1791.092608695652,1721.97275,1625.1606060606061,2213.4,1607-7938,,1607-7938,1027-5606
Sensors,1664.8833333333334,1620.877288135593,1588.231382978723,1363.6669158878506,1380.9004098360654,1891.31,1424-8220,,1424-8220,1424-8220
Scientific Reports,1397.2125174825173,1351.7291789473684,1426.0692557150455,1532.400950080515,1681.6506317204305,1805.2678260869568,2045-2322,,2045-2322,2045-2322
The Cryosphere Discussions,1068.6233333333332,1166.5633333333333,891.15,1759.8649999999998,,,1994-0440,,1994-0440,1994-0440
Geoscientific Model Development Discussions,1480.57,1476.71,1544.5700000000004,,,,1991-962X,,1991-962X,1991-962X
Frontiers in Physics,1046.679090909091,1580.753333333333,1170.83,1529.2228571428573,1862.34,1928.92,2296-424X,,2296-424X,2296-424X
Frontiers in Earth Science,1385.92125,1556.1036363636365,1709.4349999999995,1548.2464000000002,1469.092380952381,,2296-6463,,2296-6463,2296-6463
Water,1045.5992307692309,1097.8266666666668,1189.9137777777778,1064.7490322580645,1125.3426153846156,1710.293333333333,2073-4441,,2073-4441,2073-4441
Nature Communications,4039.297537313433,4043.489693251534,3921.2286231884063,4103.136864608076,4196.459417040359,5057.98,2041-1723,,2041-1723,2041-1723
Education Research International,527.86,449.36,1036.42,1022.0,1106.0,,2090-4002,2090-4002,2090-4010,2090-4010
Oxidative Medicine and Cellular Longevity,1409.88,1466.48,1823.085833333333,1863.16,1995.182,2413.13,1942-0900,1942-0900,1942-0994,1942-0994
Optics Express,1787.8581111111112,2079.5681578947374,2182.4220143884895,2158.2452040816324,2082.781219512195,,1094-4087,,1094-4087,1094-4087
Genome Biology and Evolution,1573.1794736842105,1607.755,1541.218333333333,1532.5857142857144,1656.447142857143,,1759-6653,,1759-6653,1759-6653
BMC Plant Biology,1636.3382608695651,1645.259375,1600.5628571428574,1725.9557142857145,1665.2588888888888,,1471-2229,1471-2229,,1471-2229
BMC Public Health,1728.031066666667,1590.0176842105263,1649.5569565217388,1679.598111111111,1713.4507142857144,1796.0,1471-2458,1471-2458,1471-2458,1471-2458
BMC Genomics,1717.768051948052,1677.0149253731342,1667.6960273972602,1678.1338297872344,1668.5783333333331,,1471-2164,1471-2164,,1471-2164
European Journal of Psychotraumatology,1172.521,1285.9575,1435.37,1319.9385714285713,1595.880625,,2000-8198,2000-8198,2000-818X,2000-8066
Frontiers in Behavioral Neuroscience,1391.0338636363638,1713.8378571428573,1978.2603846153845,1979.2552631578951,2084.123333333333,,1662-5153,,1662-5153,1662-5153
G3: Genes|Genomes|Genetics,1671.135,1742.151111111111,1895.33625,1920.5118181818177,1936.8546153846155,,2160-1836,,2160-1836,2160-1836
NeoBiota,,,,539.165,779.09,,1314-2488,1619-0033,1314-2488,1314-2488
Standards in Genomic Sciences,1597.0175,1600.686,1749.448,1619.08,,,1944-3277,,1944-3277,1944-3277
BMC Bioinformatics,1662.037213114754,1589.3073333333332,1611.627111111111,1671.0985185185184,1553.590740740741,,1471-2105,1471-2105,1471-2105,1471-2105
"Substance Abuse Treatment, Prevention, and Policy",1395.72,1135.1133333333335,1494.78,2015.0,1894.48,,1747-597X,1747-597X,1747-597X,1747-597X
Conflict and Health,1794.78,1429.03,1627.27,1575.605,1684.9299999999996,,1752-1505,1752-1505,1752-1505,1752-1505
BMC Evolutionary Biology,1690.1637142857144,1683.4196874999998,1727.648333333333,1643.9336666666668,1747.0838461538465,,1471-2148,1471-2148,,1471-2148
BMC Cell Biology,1745.793333333333,1525.1433333333334,1714.2866666666666,1425.38,,,1471-2121,1471-2121,1471-2121,1471-2121
BMC Pediatrics,1696.3772727272726,1677.0627272727274,1697.025,1669.111875,1747.1388888888891,,1471-2431,1471-2431,1471-2431,1471-2431
BMC Ecology,1661.24,1534.8049999999996,1715.862,1376.3385714285712,1721.67875,,1472-6785,1472-6785,,1472-6785
APL Materials,2014.4525,2230.168333333333,2177.346666666667,1940.6022222222225,2005.932857142857,,2166-532X,,2166-532X,2166-532X
International Journal of Surgery Case Reports,422.56,554.0533333333333,707.48,803.375,868.7,,2210-2612,2210-2612,,2210-2612
Frontiers in Neuroanatomy,1426.24,1641.438571428571,1930.6372727272726,1973.0288888888888,2166.206,,1662-5129,,1662-5129,1662-5129
Advances in Mathematical Physics,,832.83,,,,,1687-9120,1687-9120,1687-9139,1687-9120
BioMed Research International,1505.734666666667,1833.0018181818186,1817.592105263158,1915.4715151515152,2101.085,2201.04,2314-6133,2314-6133,2314-6141,2314-6133
Metabolites,589.76,716.4116666666667,784.7049999999998,666.6,1060.8915384615384,1599.24,2218-1989,,2218-1989,2218-1989
Surgical Neurology International,179.9,437.53,380.0,,,,2152-7806,2152-7806,,2152-7806
Cell Death and Disease,2512.96,2469.736,2724.402,2831.943888888889,3198.115,3772.3,2041-4889,,2041-4889,2041-4889
Nucleic Acids Research,1950.1016528925616,1974.6753982300888,1902.425379746836,1790.9744318181818,1901.218,2433.765000000001,0305-1048,0305-1048,1362-4962,0305-1048
Obesity Facts,1515.25,1366.62,1542.9,1183.1642857142854,1875.37,,1662-4033,1662-4025,1662-4033,1662-4025
Trials,1832.7480769230767,1762.2009374999998,1692.5430645161289,1722.2268965517246,1743.57,1432.0,1745-6215,1745-6215,1745-6215,1745-6215
Journal of Biomedical Semantics,1600.94375,1712.368,1502.912,1655.34,1661.24,,2041-1480,2041-1480,,2041-1480
Patient Safety in Surgery,1423.76,1504.16,1661.24,1500.26,1741.763333333333,,1754-9493,1754-9493,,1754-9493
BMC Surgery,1580.4175000000002,1683.0475,1661.2400000000002,1660.8533333333332,1768.265,,1471-2482,1471-2482,1471-2482,1471-2482
BMC Genetics,1790.6433333333332,1656.3560000000002,1689.4036363636362,1566.87,1571.3200000000004,,1471-2156,,1471-2156,1471-2156
Head & Face Medicine,1759.195714285714,1634.165,1752.2766666666666,1653.564,1719.55,,1746-160X,1746-160X,1746-160X,1746-160X
BMC Biotechnology,1616.8425,1823.915,1690.22,1712.1466666666665,1810.578333333333,,1472-6750,,1472-6750,1472-6750
BMC Systems Biology,1675.5783333333334,1578.914166666667,1576.493333333333,1816.1975,1642.05,,1752-0509,,1752-0509,1752-0509
BMC Geriatrics,1670.6989999999998,1766.1670000000001,1630.4354545454544,1653.4406666666666,1814.973333333333,,1471-2318,1471-2318,1471-2318,1471-2318
Cell Communication and Signaling,1993.608,1947.551428571429,1806.4333333333332,1579.273333333333,2242.46,,1478-811X,1478-811X,,1478-811X
European Journal of Medical Research,1871.778461538462,1899.24,1899.24,1884.0257142857151,1889.351111111111,,2047-783X,2047-783X,,0949-2321
American Journal of Perinatology Reports,,,1054.36,1453.89,,,2157-6998,2157-6998,2157-7005,2157-7005
Physiological Reports,1354.995,1280.2923529411764,1372.6623529411766,1174.6905263157892,1497.4175,,2051-817X,,,2051-817X
Frontiers in Marine Science,1519.7920000000001,1541.6569230769232,1643.2858333333334,1401.0946875,1539.9788888888886,1726.86,2296-7745,,2296-7745,2296-7745
Frontiers in Microbiology,1328.9923157894737,1804.3644086021507,1980.312529411765,2084.2620744680853,2230.667948717949,1934.77,1664-302X,,1664-302X,1664-302X
Frontiers in Computational Neuroscience,1585.9538461538461,1743.1113333333335,2114.82,2058.6014285714286,2480.1366666666668,,1662-5188,,1662-5188,1662-5188
Frontiers in Neuroengineering,1440.0,,,,,,1662-6443,,1662-6443,1662-6443
Frontiers in Cellular Neuroscience,1266.844418604651,1669.9426666666666,1961.8615625,2076.4846,2179.8526923076925,,1662-5102,,1662-5102,1662-5102
Frontiers in Neurology,1195.246875,1365.9785,1610.3506896551723,1848.6444897959186,1994.2963043478264,2006.625,1664-2295,,1664-2295,1664-2295
Frontiers in Molecular Neuroscience,1442.1633333333334,1278.9614285714285,1871.5626666666665,2036.6430952380947,1987.444782608696,,1662-5099,,1662-5099,1662-5099
Frontiers in Genetics,1081.4651724137932,1415.5400000000004,1475.054375,1508.1196551724136,1939.701875,,1664-8021,,1664-8021,1664-8021
Frontiers in Systems Neuroscience,1128.8775,1181.9766666666667,1709.444705882353,1606.5666666666666,1876.5675,1726.86,1662-5137,,1662-5137,1662-5137
Frontiers in Pharmacology,1084.7853846153846,1478.549166666667,2085.5372413793093,2043.5375,1966.1302272727266,1849.34,1663-9812,,1663-9812,1663-9812
Frontiers in Immunology,1215.9715217391306,1635.4820454545456,1951.7460106382973,2108.379375,2089.5525242718445,1824.6,1664-3224,,1664-3224,1664-3224
Frontiers in Neural Circuits,1649.7383333333335,1551.813846153846,1917.2923076923075,2148.2966666666666,2188.116,,1662-5110,,1662-5110,1662-5110
Frontiers in Neuroinformatics,1649.3580000000004,1811.6025,2066.5392307692305,1997.8338461538465,2208.4816666666666,2742.85,1662-5196,,1662-5196,1662-5196
Frontiers in Neuroscience,1278.1481395348835,1604.8479166666666,1989.992571428572,2092.1395454545454,2119.486571428572,2101.5,1662-453X,,1662-453X,1662-453X
Frontiers in Synaptic Neuroscience,,1475.385,1654.725,1510.303333333333,1794.4666666666665,,1663-3563,,1663-3563,1663-3563
EMBO Molecular Medicine,2806.3218181818183,2899.844,3029.568666666667,2933.9387500000007,3147.84,,1757-4676,,,1757-4676
Frontiers in Psychiatry,1336.66,1598.625,1533.533666666667,1794.8331034482758,1989.3967164179105,1885.522,1664-0640,,1664-0640,1664-0640
Frontiers in Integrative Neuroscience,1198.775,1638.7099999999996,1627.03,1548.0549999999996,880.48,,1662-5145,,1662-5145,1662-5145
PLOS Genetics,2119.2755555555555,2132.8561016949147,2100.8454117647057,2140.209268292683,2253.9616666666666,,1553-7404,,1553-7404,1553-7390
PLOS Computational Biology,2044.2004819277108,2138.4963235294117,2213.029873417722,2177.379245283019,2220.6244,2461.3433333333332,1553-7358,,1553-7358,1553-734X
PLOS Biology,2804.052222222222,2715.5781818181813,2745.742916666666,2767.1963157894734,2853.960769230769,,1545-7885,,1545-7885,1544-9173
Ecology and Evolution,1470.3063333333334,1412.777356321839,1424.0825233644864,1372.9445333333333,1408.0747142857142,1165.01,2045-7758,,,2045-7758
Brain and Behavior,1713.26,1756.9119999999998,1543.2669230769231,1745.1575,1576.9350000000004,,2162-3279,,,2162-3279
MicrobiologyOpen,1509.333333333333,1572.0955555555554,1601.2355555555555,1790.1609090909092,1745.17,1733.0,2045-8827,,,2045-8827
ChemistryOpen,,1967.0083333333332,1456.8715384615386,1680.7953846153848,1681.1114285714286,,2191-1363,,,2191-1363
Frontiers in Cell and Developmental Biology,2031.146,1242.306111111111,1086.310909090909,1377.19875,1697.8754838709674,,2296-634X,,2296-634X,2296-634X
Frontiers in Aging Neuroscience,1496.088181818182,1874.2112,1877.2953333333335,2067.980357142857,2123.292142857143,,1663-4365,,1663-4365,1663-4365
Journal of Computer and Communications,,,291.8300000000001,,,,2327-5219,2327-5219,2327-5227,2327-5219
Nanoscale Research Letters,1297.8166666666666,1363.0733333333333,1117.4518181818182,1055.785,1521.925,,1556-276X,1556-276X,1556-276X,1556-276X
BMC Medical Genetics,1622.5,1728.494,1790.4983333333332,1571.8,1661.24,,1471-2350,1471-2350,1471-2350,1471-2350
BMC Nephrology,1662.3549999999998,1660.84,1659.857857142857,1658.946666666667,1664.696666666667,,1471-2369,1471-2369,1471-2369,1471-2369
BMC Pulmonary Medicine,1700.0064285714286,1750.6476923076925,1627.4785714285715,1596.8737499999993,1700.906666666667,,1471-2466,1471-2466,1471-2466,1471-2466
BMC Musculoskeletal Disorders,1620.8126086956522,1640.7937096774192,1606.8748936170214,1673.9377083333331,1783.2916129032258,1894.48,1471-2474,1471-2474,1471-2474,1471-2474
BMC Medical Education,1695.051739130435,1708.6725,1609.9690476190478,1621.2515384615383,1686.9276190476194,,1472-6920,1472-6920,1472-6920,1472-6920
BMC Medical Ethics,1764.3470000000002,1894.824444444445,1843.252222222222,1736.565,1713.59,1123.36,1472-6939,1472-6939,1472-6939,1472-6939
BMC Health Services Research,1683.1578125,1681.8977777777775,1674.7881999999993,1669.1426923076922,1758.6327272727274,,1472-6963,1472-6963,1472-6963,1472-6963
Malaria Journal,1757.9533333333334,1786.5372413793107,1806.7147368421051,1755.8477083333335,1867.7623529411765,,1475-2875,1475-2875,,1475-2875
Lipids in Health and Disease,1705.975,1517.47,1680.215,1844.02,1676.94,,1476-511X,1476-511X,1476-511X,1476-511X
Journal of Translational Medicine,1645.42625,1709.3564285714288,1699.651111111111,1515.1642857142856,2189.3460000000005,,1479-5876,1479-5876,1479-5876,1479-5876
Journal of Cardiovascular Magnetic Resonance,1555.90625,1638.33,1884.5577777777773,1910.9544444444448,2012.6375,,1532-429X,1532-429X,,1097-6647
Emerging Themes in Epidemiology,2347.62,1623.083333333333,1578.54,1513.7333333333331,,,1742-7622,1742-7622,1742-7622,1742-7622
Journal of Orthopaedic Surgery and Research,1830.6871428571426,1899.22,1847.7685714285712,1895.5275,1879.088,1857.59,1749-799X,1749-799X,,1749-799X
Journal of Biological Engineering,1566.04,1709.8466666666666,1732.64,1660.1,1756.75,,1754-1611,1754-1611,,1754-1611
Journal of Ovarian Research,1351.91,1498.87,1483.25,2015.0,1918.975,,1757-2215,1757-2215,,1757-2215
"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",1569.7700000000002,1709.737692307693,1696.6933333333334,1810.986,1812.5255555555555,,1757-7241,1757-7241,1757-7241,1757-7241
Transplantation Research,,1961.68,,,,,2047-1440,2047-1440,,2047-1440
Journal of Eating Disorders,1536.9879999999996,1537.5666666666666,1803.6833333333332,1616.27,1661.24,,2050-2974,2050-2974,2050-2974,2050-2974
Experimental Hematology & Oncology,,1649.7925,,,,,2162-3619,2162-3619,2162-3619,2162-3619
The Journal of Mathematical Neuroscience,947.5,2015.0,1088.855,1248.72,,,2190-8567,2190-8567,,2190-8567
Genome Biology,2194.2916666666665,2326.16375,2308.57,2335.273888888889,2268.822857142857,,1465-6906,1465-6906,,1465-6906
Genetics Selection Evolution,1381.235,1399.779,1465.6594117647062,1493.7044444444446,1552.35,,1297-9686,1297-9686,,0999-193X
BMC Cardiovascular Disorders,1395.5649999999996,1617.2735714285716,1721.5799999999995,1685.07125,1727.265,,1471-2261,1471-2261,1471-2261,1471-2261
BMC Medical Research Methodology,1780.9022727272727,1689.997368421053,1710.08,1633.5130000000006,1735.2089999999998,,1471-2288,1471-2288,1471-2288,1471-2288
BMC Infectious Diseases,1688.510416666667,1690.9920930232556,1685.7816129032258,1718.1168421052635,1691.4375,,1471-2334,1471-2334,1471-2334,1471-2334
BMC Pregnancy and Childbirth,1712.5590476190478,1655.851724137931,1623.5811538461542,1619.4159523809524,1737.8655000000006,1432.0,1471-2393,1471-2393,1471-2393,1471-2393
BMC Urology,1627.92,1571.62,1872.46,2015.0,1637.78,,1471-2490,1471-2490,1471-2490,1471-2490
Molecular Cancer,1602.8755555555554,1685.7737499999996,1691.366,1661.24,,,1476-4598,1476-4598,,1476-4598
BMC Medicine,2244.8975,2142.0,2332.755909090909,2258.3272727272724,2355.525555555556,,1741-7015,1741-7015,1741-7015,1741-7015
Journal of NeuroEngineering and Rehabilitation,1518.3066666666666,1730.1975,1706.044,1840.0871428571427,1843.35375,,1743-0003,1743-0003,,1743-0003
Epigenetics & Chromatin,1942.263333333333,1632.263333333333,1670.8733333333332,1955.463333333333,2179.11,,1756-8935,1756-8935,,1756-8935
Systematic Reviews,1950.0983333333331,1871.3997142857145,1877.9207692307693,1806.678333333333,1812.9027272727274,,2046-4053,2046-4053,2046-4053,2046-4053
Acta Neuropathologica Communications,1161.843,1084.9931034482756,1090.0914285714287,1154.4766666666665,1534.0145454545457,,2051-5960,2051-5960,2051-5960,2051-5960
Journal of Hematology & Oncology,1707.99,1931.58,2083.96,2015.0,2003.96,,1756-8722,,1756-8722,1756-8722
BMJ Open,1893.3349242424247,1649.050853080569,1515.6478326996198,1614.9836991869918,1616.1736428571426,,2044-6055,2044-6055,2044-6055,2044-6055
Journal of Vision,1743.3965217391305,1763.4296,1741.315925925926,1715.301515151515,1950.06,1957.9233333333327,1534-7362,,1534-7362,1534-7362
BMC Developmental Biology,1703.726666666667,1626.4916666666668,1840.4,1619.935,1623.0,,1471-213X,1471-213X,,1471-213X
BMC Oral Health,1724.2378571428571,1723.130666666667,1733.388333333333,1648.155,1709.36375,,1472-6831,1472-6831,1472-6831,1472-6831
BMC Clinical Pathology,1502.18,,,,,,1472-6890,1472-6890,1472-6890,1472-6890
Microbial Cell Factories,1421.358125,1474.823846153846,1825.2206666666668,1636.7526666666665,1929.537,,1475-2859,1475-2859,,1475-2859
Journal of Neuroinflammation,1727.9821428571433,1868.6825,1883.9115384615384,1909.7063157894736,1909.4263636363642,,1742-2094,1742-2094,1742-2094,1742-2094
Journal of Ethnobiology and Ethnomedicine,1808.39,1629.04,1750.775,1891.62,,,1746-4269,1746-4269,,1746-4269
Plant Methods,1648.265,1568.205,1776.03,1805.7479999999998,2060.8050000000007,,1746-4811,1746-4811,,1746-4811
Cell Division,,,,2057.53,1785.0,,1747-1028,1747-1028,,1747-1028
"Philosophy, Ethics, and Humanities in Medicine",1351.84,1661.24,1602.915,2015.0,1009.12,,1747-5341,1747-5341,,1747-5341
Algorithms for Molecular Biology,1355.4783333333332,1384.08,1608.537142857143,1661.24,,,1748-7188,1748-7188,1748-7188,1748-7188
Journal of Cardiothoracic Surgery,1687.706666666667,1763.0266666666669,1660.4057142857143,1740.25,1615.5420000000001,,1749-8090,1749-8090,1749-8090,1749-8090
Acta Veterinaria Scandinavica,1787.9260000000004,1619.4494117647062,1678.4363636363635,1671.0738095238096,1781.4700000000007,,1751-0147,1751-0147,,0044-605X
Journal of Medical Case Reports,830.7627272727271,874.0577777777777,875.6550000000002,1001.03,1062.67,,1752-1947,1752-1947,1752-1947,1752-1947
Journal of Neurodevelopmental Disorders,2084.373333333333,2003.7620000000002,1795.8379999999993,1708.44,,,1866-1955,1866-1955,,1866-1947
Diversity,844.5099999999999,670.0,726.12,1384.0,776.79,,1424-2818,,1424-2818,1424-2818
Molecules,1677.3705714285716,1497.364782608696,1603.7978723404253,1356.019076923077,1388.9694897959187,1614.695,1420-3049,,1420-3049,1420-3049
Sustainability,1050.970869565217,1031.8969444444447,1143.0394285714287,1083.2077011494257,1177.2147150259066,1011.21,2071-1050,,2071-1050,2071-1050
Communicative & Integrative Biology,763.77,1683.54,791.265,2029.77,,,1942-0889,,1942-0889,1942-0889
Journal of Addiction Research & Therapy,1116.99,,,,,,2155-6105,,2155-6105,2155-6105
Journal of Clinical & Experimental Cardiology,,,1415.0,,,,2155-9880,,2155-9880,2155-9880
Advances in Bioscience and Biotechnology,1090.02,,,,,,2156-8456,2156-8456,2156-8502,2156-8456
Biogeosciences,1284.842894736842,1465.7113157894735,1545.817205882353,1776.101730769231,1778.841470588235,,1726-4189,,1726-4189,1726-4170
Biogeosciences Discussions,1215.767857142857,1211.8225,1305.0,1544.395,,,1810-6285,,1810-6285,1810-6285
